,okpdtr,cv_avg_salary,cv_count,count_candidate,work_places,vacancy_count,vac_avg_salary,id,okpdtr_name,okz,okz_subgroup,description
93,112988.0,31000.0,5,4,11,6,48607.11111111112,3342,Буртоукладчик,8160,81,Операторы аппаратчики и машинисты установок электр
94,113001.0,35000.0,3,1,16,10,49907.640191495906,3343,Бутафор,7115,71,Горнорабочие и рабочие других профессий по добыче
95,113016.0,20258.087837837837,148,79,1419,850,48649.90488977983,3344,Буфетчик,5131,51,Работники по уходу за детьми оказывают помощь восп
96,113054.0,28148.0,3,3,2,2,47351.33333333333,3346,Вагонетчик,9321,93,
97,113112.0,40000.0,1,1,2,2,48704.0,3350,Вакуум-прессовщик керамической массы и заготовок,7314,73,Рабочие выполняющие прецизионные работы по металлу
98,113196.0,44285.71428571428,7,5,82,6,52870.88888888888,3358,Вальцовщик,7516,75,Рабочие транспорта обслуживают ремонтируют и налаж
99,113266.0,40000.0,2,1,12,2,57755.333333333336,3362,Вальцовщик калибровочного стана,3135,31,Техники и операторы оптического и электронного обо
100,113374.0,27000.0,1,1,1,1,51546.0,3368,Вальцовщик по сборке и перевалке клетей,3135,31,Техники и операторы оптического и электронного обо
101,113459.0,51666.666666666664,3,3,32,11,59843.0,3373,Вальцовщик стана горячей прокатки,3135,31,Техники и операторы оптического и электронного обо
102,113590.0,33964.51219512195,164,138,1068,259,55462.17309866528,3383,Вальщик леса,6210,62,Квалифицированные работники сельскохозяйственного
103,113618.0,20000.0,1,1,19,12,51116.3888888889,3384,Валяльщик,7536,75,"Рабочие транспорта и связи обслуживают, ремонтирую"
104,113684.0,41666.666666666664,3,2,44,21,56102.81932118463,3389,Варщик асфальтовой массы,7114,71,Горнорабочие и рабочие других профессий по добыче
105,113887.0,23000.0,5,3,23,16,51513.83333333333,3399,Варщик пищевого сырья и продуктов,8160,81,Операторы аппаратчики и машинисты установок электр
106,113923.0,18000.0,2,1,39,15,50415.84444444444,3401,"Варщик сиропов, соков, экстрактов",8160,81,Операторы аппаратчики и машинисты установок электр
107,114146.0,20000.0,2,1,19,5,50063.46666666667,3413,Вафельщик,7512,75,Рабочие по обслуживанию и ремонту оборудования мет
108,114184.0,40000.0,1,1,47,21,52591.396825396834,3415,Вентилевой гидравлического пресса,7521,75,Телефонисты телеграфисты и родственные профессии р
109,114220.0,22299.81976744186,172,100,887,422,50091.871898088066,3417,Весовщик,9321,93,
110,114235.0,18666.666666666668,12,7,10,7,48291.28571428572,3418,Весовщик-счетчик,9321,93,
111,114292.0,61538.48837209302,172,119,274,86,74262.80859393264,3422,Взрывник,7542,75,"Рабочие транспорта и связи обслуживают, ремонтирую"
112,114396.0,21531.206521739132,92,57,1973,99,51665.299663299666,3428,Виноградарь,6112,61,Садоводы по выращиванию культур произрастающих на
113,114409.0,30000.0,5,4,3,2,48969.66666666667,3429,Витражист,3432,34,Средний юридический персонал и персонал родственны
114,114428.0,34482.02137692549,34991,29344,145261,32265,55300.59181595358,3430,Водитель автомобиля,8322,83,Водители автомобилей управляют легковыми и грузовы
115,114470.0,56872.69565217391,161,116,361,152,70471.1329955242,3432,Водитель вездехода,8321,83,Водители мотоциклов мотороллеров мопедов аэросаней
116,114485.0,30000.0,4,3,11,11,57166.87878787879,3433,Водитель дрезины,8311,83,Машинисты локомотивов управляют тепловозами и элек
117,114494.0,30250.0,8,4,103,24,59209.95833333332,3434,Водитель-испытатель,8322,83,Водители автомобилей управляют легковыми и грузовы
118,114517.0,40178.57142857143,56,45,59,35,52268.43809523808,3436,Водитель мототранспортных средств,8321,83,Водители мотоциклов мотороллеров мопедов аэросаней
119,114536.0,35190.081676518,1861,1447,9688,4135,57109.125603403605,3437,Водитель погрузчика,8343,83,Водители и машинисты подвижного оборудования управ
120,114574.0,27073.90243902439,41,35,2152,96,55781.007658836395,3438,Водитель трамвая,8331,83,"Машинисты моторизованного оборудования колхозов, с"
121,114606.0,32355.281690140844,71,56,338,75,57440.87111111112,3439,Водитель транспортно-уборочной машины,8322,83,Водители автомобилей управляют легковыми и грузовы
122,114625.0,34044.117647058825,68,52,3656,150,57884.13555555552,3440,Водитель троллейбуса,8331,83,"Машинисты моторизованного оборудования колхозов, с"
123,114637.0,40533.333333333336,15,9,222,79,52785.5316455696,3441,Водитель электро- и автотележки,8321,83,Водители мотоциклов мотороллеров мопедов аэросаней
124,114659.0,42036.724137931036,58,36,124,51,55963.94252120835,3442,Водолаз,3123,31,Техники и операторы по обслуживанию промышленных р
125,114714.0,20625.0,4,3,16,6,49983.28920804874,3445,Водораздатчик,7126,71,Строители-монтажники и рабочие родственных професс
126,114822.0,25714.285714285714,7,5,12,6,54984.9558747154,3451,Волочильщик,3135,31,Техники и операторы оптического и электронного обо
127,114860.0,38818.181818181816,11,9,102,43,55877.28682170543,3453,Волочильщик проволоки,7213,72,Вальцовщики осуществляют вальцовку правку и чистку
128,114926.0,20000.0,1,1,18,7,50710.66666666667,3458,"Вставщик деталей, изделий и фурнитуры",7536,75,"Рабочие транспорта и связи обслуживают, ремонтирую"
129,114956.0,32692.30769230769,13,11,151,93,55872.23012811784,3460,Вулканизаторщик,8141,81,Операторы лесопильных установок установок по произ
130,115045.0,33333.333333333336,3,3,118,43,55314.048106549424,3465,Выбивальщик отливок,9321,93,
131,115115.0,99999.0,1,1,13,1,73918.33333333333,3468,Выбивщик титановой губки,7214,72,Подготовители конструкционного металла и слесари-м
132,115365.0,30000.0,1,1,14,5,51655.0,3482,Выгрузчик древесины из воды,6210,62,Квалифицированные работники сельскохозяйственного
133,115488.0,35000.0,3,2,21,6,59273.77777777778,3489,Выдувальщик стеклоизделий,8181,81,Операторы аппаратчики и машинисты промышленных уст
134,115596.0,40000.0,1,1,10,3,56602.02286054192,3495,Выливщик-заливщик металла,3135,31,Техники и операторы оптического и электронного обо
135,115647.0,30000.0,2,1,3,2,63448.33333333333,3498,Выпарщик щелоков,8171,81,Операторы автоматических сборочных линий управляют
136,115721.0,18333.333333333332,3,2,4,3,51416.333333333336,3502,Вырубщик деталей,8155,81,Операторы нефтеочистительных установок управляют о
137,115740.0,50000.0,2,2,17,6,57135.555555555555,3503,Вырубщик заготовок и изделий,8141,81,Операторы лесопильных установок установок по произ
138,115789.0,21666.666666666668,6,2,23,9,54566.7037037037,3505,Выставщик,7114,71,Горнорабочие и рабочие других профессий по добыче
139,115832.0,26000.0,33,27,80,30,51657.62222222222,3508,Вышивальщица,7531,75,"Рабочие транспорта и связи обслуживают, ремонтирую"
140,115859.0,24400.0,5,4,2,1,51286.333333333336,3509,Вышивальщица текстильно-галантерейных изделий,8153,81,Аппаратчики (операторы) фильтровальных машин и сеп
141,115878.0,56727.818181818184,55,35,100,15,56815.377777777794,3510,Вышкомонтажник,8113,81,Бурильщики скважин и колодцев и родственные профес
142,115882.0,58846.153846153844,13,9,122,19,68852.84210526317,3511,Вышкомонтажник-сварщик,8113,81,Бурильщики скважин и колодцев и родственные профес
143,115909.0,85000.0,2,1,109,14,81433.76190476192,3512,Вышкомонтажник-электромонтер,8113,81,Бурильщики скважин и колодцев и родственные профес
144,115929.0,21726.08695652174,23,20,233,55,51110.39393939394,3513,Вязальщик,7318,73,Рабочие выполняющие прецизионные работы по металлу
145,115986.0,22222.222222222223,9,8,689,51,54038.26797385622,3516,"Вязальщик схемных жгутов, кабелей и шнуров",7421,74,Рабочие по первоначальной обработке древесины расп
146,116004.0,22800.0,5,4,3,1,46801.333333333336,3517,Вязальщица текстильно-галантерейных изделий,7318,73,Рабочие выполняющие прецизионные работы по металлу
147,116029.0,25184.782608695652,46,42,299,48,51049.11111111112,3518,"Вязальщица трикотажных изделий, полотна",8152,81,Операторы жаровен аппаратчики обжигательных печей
148,116071.0,29433.276923076923,65,54,35,23,56335.84057971015,3520,Газовщик,8121,81,"Операторы печей для плавки сырой руды, доменных пе"
149,116090.0,45000.0,2,2,6,5,61003.333333333336,3521,Газовщик доменной печи,3135,31,Техники и операторы оптического и электронного обо
